"fecha";"Run Fondo";"serie";"periodo";"rent"
2023-03-13;"8257";APV;"6M";-9.99%
2023-03-13;"8257";APV;"1Y";"2.68%"
2023-03-13;"8257";APV;YTD;-5.24%
2023-03-14;"8257";APV;"1M";"1.80%"
2023-03-14;"8257";APV;"3M";-6.09%
2023-03-14;"8257";APV;"6M";-10.92%
2023-03-14;"8257";APV;"1Y";"1.64%"
2023-03-14;"8257";APV;YTD;-5.51%
2023-03-15;"8257";APV;"1M";"3.52%"
2023-03-15;"8257";APV;"3M";-5.52%
2023-03-15;"8257";APV;"6M";-9.60%
2023-03-15;"8257";APV;"1Y";"2.93%"
2023-03-15;"8257";APV;YTD;-3.53%
2023-03-16;"8257";APV;"1M";"4.20%"
2023-03-16;"8257";APV;"3M";-5.80%
2023-03-16;"8257";APV;"6M";-8.79%
2023-03-16;"8257";APV;"1Y";"5.33%"
2023-03-16;"8257";APV;YTD;-2.66%
2023-03-17;"8257";APV;"1M";"5.24%"
2023-03-17;"8257";APV;"3M";-5.12%
2023-03-17;"8257";APV;"6M";-8.12%
2023-03-17;"8257";APV;"1Y";"6.84%"
2023-03-17;"8257";APV;YTD;-1.94%
2023-03-18;"8257";APV;"1M";"5.24%"
2023-03-18;"8257";APV;"3M";-5.12%
2023-03-18;"8257";APV;"6M";-8.12%
2023-03-18;"8257";APV;"1Y";"6.30%"
2023-03-18;"8257";APV;YTD;-1.93%
2023-03-19;"8257";APV;"1M";"5.24%"
2023-03-19;"8257";APV;"3M";-5.36%
2023-03-19;"8257";APV;"6M";-8.11%
2023-03-19;"8257";APV;"1Y";"6.32%"
2023-03-19;"8257";APV;YTD;-1.91%
2023-03-20;"8257";APV;"1M";"4.77%"
2023-03-20;"8257";APV;"3M";-5.99%
2023-03-20;"8257";APV;"6M";-9.14%
2023-03-20;"8257";APV;"1Y";"5.78%"
2023-03-20;"8257";APV;YTD;-2.41%
2023-03-21;"8257";APV;"1M";"3.37%"
2023-03-21;"8257";APV;"3M";-5.46%
2023-03-21;"8257";APV;"6M";-10.68%
2023-03-21;"8257";APV;"1Y";"5.67%"
2023-03-21;"8257";APV;YTD;-2.96%
2023-03-22;"8257";APV;"1M";"2.80%"
2023-03-22;"8257";APV;"3M";-4.42%
2023-03-22;"8257";APV;"6M";-11.38%
2023-03-22;"8257";APV;"1Y";"6.03%"
2023-03-22;"8257";APV;YTD;-3.28%
2023-03-23;"8257";APV;"1M";"0.66%"
2023-03-23;"8257";APV;"3M";-6.99%
2023-03-23;"8257";APV;"6M";-14.83%
2023-03-23;"8257";APV;"1Y";"4.13%"
2023-03-23;"8257";APV;YTD;-4.86%
2023-03-24;"8257";APV;"1M";-0.50%
2023-03-24;"8257";APV;"3M";-6.27%
2023-03-24;"8257";APV;"6M";-14.17%
2023-03-24;"8257";APV;"1Y";"5.56%"
2023-03-24;"8257";APV;YTD;-4.11%
2023-03-25;"8257";APV;"1M";-0.50%
2023-03-25;"8257";APV;"3M";-6.27%
2023-03-25;"8257";APV;"6M";-14.16%
2023-03-25;"8257";APV;"1Y";"6.11%"
2023-03-25;"8257";APV;YTD;-4.10%
2023-03-26;"8257";APV;"1M";-0.50%
2023-03-26;"8257";APV;"3M";-6.58%
2023-03-26;"8257";APV;"6M";-16.06%
2023-03-26;"8257";APV;"1Y";"6.12%"
2023-03-26;"8257";APV;YTD;-4.09%
2023-03-27;"8257";APV;"1M";-2.60%
2023-03-27;"8257";APV;"3M";-6.89%
2023-03-27;"8257";APV;"6M";-16.20%
2023-03-27;"8257";APV;"1Y";"5.50%"
2023-03-27;"8257";APV;YTD;-4.65%
2023-03-28;"8257";APV;"1M";-3.28%
2023-03-28;"8257";APV;"3M";-5.52%
2023-03-28;"8257";APV;"6M";-15.90%
2023-03-28;"8257";APV;"1Y";"5.59%"
2023-03-28;"8257";APV;YTD;-5.44%
2023-03-29;"8257";APV;"1M";-4.18%
2023-03-29;"8257";APV;"3M";-6.71%
2023-03-29;"8257";APV;"6M";-16.25%
2023-03-29;"8257";APV;"1Y";"4.81%"
2023-03-29;"8257";APV;YTD;-6.33%
2023-03-30;"8257";APV;"1M";-4.51%
2023-03-30;"8257";APV;"3M";-6.65%
2023-03-30;"8257";APV;"6M";-16.05%
